id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,is_renovated,living_to_lot_ratio
5101400871,2015-05-24,445500,2,1.75,1390,6670,1.0,0,0,3,6,720,670,1941,0,98115,47.6914,-122.308,920,6380,84,0,0.20839580209895053
7923600250,2015-05-15,450000,5,2.0,1870,7344,1.5,0,0,3,7,1870,0,1960,0,98007,47.5951,-122.144,1870,7650,65,0,0.25462962962962965
9178601660,2015-05-14,1695000,5,3.0,3320,5354,2.0,0,0,3,9,3320,0,2004,0,98103,47.6542,-122.331,2330,4040,21,0,0.6200971236458722
4166600610,2015-05-14,335000,3,2.0,1410,44866,1.0,0,0,4,7,1410,0,1985,0,98023,47.3273,-122.37,2950,29152,40,0,0.03142691570454242
5057100110,2015-05-14,479349,5,3.0,3223,6371,2.0,0,0,3,9,3223,0,2014,0,98042,47.3584,-122.163,1979,9008,11,0,0.5058860461466018
1786200010,2015-05-14,456500,4,2.5,2580,11780,2.0,0,0,3,9,2580,0,2003,0,98038,47.3658,-122.04,2410,8403,22,0,0.21901528013582344
7129304540,2015-05-14,440000,5,2.0,1430,5600,1.5,0,0,3,6,1430,0,1947,0,98118,47.5192,-122.266,1860,5980,78,0,0.25535714285714284
6752600320,2015-05-14,360000,4,2.5,2020,7289,2.0,0,0,3,7,2020,0,1994,0,98031,47.401,-122.171,2090,7259,31,0,0.27712992179997253
6815100380,2015-05-14,855000,3,1.75,1900,4000,1.0,0,0,3,7,1300,600,1965,0,98103,47.6854,-122.331,1880,4000,60,0,0.475
8149600265,2015-05-14,725000,4,1.75,1980,5850,1.0,0,1,4,8,1380,600,1960,0,98116,47.5607,-122.391,1810,5850,65,0,0.3384615384615385
6699300330,2015-05-13,372000,5,2.5,2840,6010,2.0,0,0,3,8,2840,0,2003,0,98001,47.3161,-122.27,2740,5509,22,0,0.47254575707154745
2112700600,2015-05-13,415000,3,2.25,1640,5880,1.0,0,0,3,7,1240,400,1977,0,98106,47.5323,-122.351,1200,4760,48,0,0.2789115646258503
8682262400,2015-05-13,419950,2,1.75,1350,4003,1.0,0,0,3,8,1350,0,2004,0,98053,47.7176,-122.033,1350,4479,21,0,0.3372470647014739
1423200110,2015-05-13,180000,2,1.0,800,9450,1.0,0,0,3,6,800,0,1958,0,98058,47.4563,-122.184,1090,9450,67,0,0.08465608465608465
7424700045,2015-05-13,2050000,5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,1905,1994,98122,47.6166,-122.287,3050,7556,120,1,0.4516509433962264
9567800435,2015-05-13,465000,4,1.75,1640,7194,1.5,0,0,4,7,1480,160,1915,0,98011,47.7649,-122.205,1440,9405,110,0,0.22796775090353072
2013801086,2015-05-13,245000,3,1.5,1340,7391,1.0,0,0,4,7,1340,0,1966,0,98198,47.3837,-122.317,1300,7391,59,0,0.1813015830063591
2698200010,2015-05-13,165000,3,1.0,1380,7334,1.0,0,0,3,7,980,400,1981,0,98055,47.4339,-122.192,1910,7859,44,0,0.18816471229888193
2568200610,2015-05-13,751000,5,2.75,2860,5280,2.0,0,0,3,9,2860,0,2006,0,98052,47.707,-122.102,3150,6442,19,0,0.5416666666666666
303800020,2015-05-13,425000,3,2.75,3370,13929,2.0,0,0,3,9,2650,720,1986,0,98092,47.3411,-122.197,2150,14048,39,0,0.2419412736018379
